"Test Number","Brand","Textile Mill","Fabric Database","Labratory","Fuze Fabric Number","Wash","Number of Washes","Test Method","Test Method (dropdown)","Test Report #","Tested Bacteria #1","Antimicrobial Result #1","Tested Bacteria","Tested Bacteria #2","Antibacterial Result #2","Written Result (Fungal Testing)","Tested Odor","Tested Metal","ICP (Ag) Result","ICP (Au) Result","Fuze Internal Report #","Date","Date (post wash)","Testing Labratory","Fuze Application Date","Report 1","Report 1 : URL","Report 2","Report 2 : URL","Report 3","Report 3 : URL","Report 4","Report 4 : URL","Image","Image : URL","Ag Serial #","Au Serial #","Fungal Serial #","Machine Type","Post Wash Report #","Ag","Record ID"
"562","","","","","","0","","AATCC 147","","TWNC00948557","","","E-coli","","","Inhibition of growth","","","","","FT21001","01/18/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d29126ae702d825ba54"
"563","","","","","","0","","AATCC 147","","TWNC00948558","","","E-coli","","","Inhibition of growth","","","","","","01/18/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d2a126ae702d825ba5c"
"564","","","","","","0","","ASTM E2149","","TWNC00955732","","100%","E-coli","","","","","","","","FT21012","02/08/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d2a126ae702d825ba60"
"565","","","","","","0","","ASTM E2149","","TWNC00955734","","97%","E-coli","","","","","","","","","02/08/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d2a126ae702d825ba64"
"566","","","","","","0","","AATCC 30","","TWNC00955750","","","Aspergilllus niger","","","10% growth of Aspergillus niger was
observed on surface area of the discs
covered with the growth of Aspergillus
niger.","","","","","","03/04/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d2a126ae702d825ba6a"
"567","","","","","","0","","ASTM E2149","","","","","E-coli","","","","","","","","","","","ITS TW","","","","","","","","","","","","","","","MISTII Mobile   ","","","67777d2a126ae702d825ba6e"
"568","","","","","","0","","AATCC 147","","","","","E-coli","","","","","","","","","","","ITS TW","","","","","","","","","","","","","","","MISTII Mobile   ","","","67777d2a126ae702d825ba76"
"569","","","","","","0","","ASTM E2149","","TWNC00958653","","100%","E-coli","","","","","","","","MU21001","03/03/2021","","ITS TW","","","","","","","","","","","","","","","MISTII Mobile   ","","","67777d2a126ae702d825ba7a"
"570","","","","","","0","","ASTM E2149","","TWNC00958658","","100%","E-coli","","","","","","","","MU21002","03/03/2021","","ITS TW","","","","","","","","","","","","","","","MISTII Mobile   ","","","67777d2a126ae702d825ba7e"
"571","","","","","","0","","ASTM E2149","","TWNC00970128","","0%","Candida albicans (ATCC10231)","","","","","","","","","04/07/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d2a126ae702d825ba84"
"572","","","","","","0","","ASTM E2149","","TWNC00970130","","0%","Candida albicans (ATCC10231)","","","","","","","","","04/07/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d2a126ae702d825ba88"
"573","","","","","","0","","ASTM E2149","","TWNC00970132","","83%","E-coli","","","","","","","","","04/07/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d2a126ae702d825ba8c"
"574","","","","","","0","","ASTM E2149","","TWNC00973550-S1","","0%","Candida albicans (ATCC10231)","","","","","","","","","04/23/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d2b126ae702d825ba92"
"575","","","","","","0","","ASTM E2149","","TWNC00973552-S1","","0%","Candida albicans (ATCC10231)","","","","","","","","","04/23/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d2b126ae702d825ba98"
"576","","","","","","0","","ASTM E2149","","TWNC00974584-S1 ","","93%","Staph & Kleb","","8938%","","","","","","","04/21/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d2b126ae702d825ba9c"
"577","","","","","","5","","ASTM E2149","","TWNC00980842","","97%","E-coli","","","","","","","","","05/17/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d2b126ae702d825baa0"
"578","","","","","","10","","ASTM E2149","","TWNC00980867","","91%","E-coli","","","","","","","","","05/17/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d2b126ae702d825baa6"
"579","","","","","","5","","ASTM E2149","","TWNC00982532","","90%","Staph & Kleb","","4409%","","","","","","","06/04/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d2b126ae702d825baac"
"580","","","","","","10","","ASTM E2149","","TWNC00982537-S1","","94%","Staph & Kleb","","3846%","","","","","","","05/19/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d2b126ae702d825bab0"
"581","","","","","","0","","ASTM E2149","","TWNC00978492","","88%","E-coli","","","","","","","","","05/05/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d2b126ae702d825bab4"
"582","","","","","","0","","AATCC 147","","TWNC00978493","","","Staph","","","No inhibition of growth","","","","","","05/03/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d2c126ae702d825babc"
"583","","","","","","0","","AATCC 147","","TWNC00980845","","","Staph","","","No inhibition of growth","","","","","","05/13/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d2c126ae702d825bac2"
"584","","","","","","0","","ASTM E2149","","TWNC00980871","","73%","E-coli","","","","","","","","","05/13/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d2c126ae702d825bac6"
"585","","","","","","0","","ASTM E2149","","TWNC00980872","","50%","E-coli","","","","","","","","","05/13/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d2c126ae702d825baca"
"586","","","","","","0","","ASTM E2149","","TWNC00985434","","94%","E-coli","","","","","","","","","05/27/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d2c126ae702d825bace"
"587","","","","","","10","","ASTM E2149","","TWNC00989939","","98%","E-coli","","","","","","","","","06/17/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d2c126ae702d825bad4"
"588","","","","","","0","","ASTM E2149","","TWNC00985438","","27%","E-coli","","","","","","","","","06/01/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d2c126ae702d825bad8"
"589","","","","","","5","","ASTM E2149","","TWNC00989942","","54%","E-coli","","","","","","","","","06/16/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d2c126ae702d825badc"
"590","","","","","","0","","ASTM E2149","","TWNC00985439","","100%","E-coli","","","","","","","","WT21001","05/27/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d2c126ae702d825bae0"
"591","","","","","","10","","ASTM E2149","","TWNC00989944","","80%","E-coli","","","","","","","","","06/17/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d2c126ae702d825bae6"
"592","","","","","","0","","ASTM E2149","","TWNC00985441","","96%","E-coli","","","","","","","","FT21002","05/27/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d2c126ae702d825baea"
"593","","","","","","0","","AATCC 147","","TWNC00985442","","","E-coli","","","No inhibition of growth.","","","","","","05/27/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d2c126ae702d825baee"
"594","","","","","","30","","ASTM E2149","","TWNC00988155","","73%","E-coli","","","","","","","","FT21004","06/08/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d2c126ae702d825baf2"
"595","","","","","","0","","ASTM E2149","","TWNC00985456","","98%","E-coli","","","","","","","","FT21003","05/27/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d2d126ae702d825baf6"
"596","","","","","","0","","AATCC 147","","TWNC00985458","","","E-coli","","","No inhibition of growth. ","","","","","","05/27/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d2d126ae702d825bafc"
"597","","","","","","30","","ASTM E2149","","TWNC00988158","","88%","E-coli","","","","","","","","FT21005","06/08/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d2d126ae702d825bb00"
"598","","","","","","0","","ASTM E2149","","TWNC00986700","","99%","E-coli","","","","","","","","KC21001","06/01/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","WldTex","67777d2d126ae702d825bb04"
"599","","","","","","0","","ASTM E2149","","TWNC00988159","","99%","E-coli","","","","","","","","PF21001","06/08/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d2d126ae702d825bb08"
"600","","","","","","30","","ASTM E2149","","TWNC01000533","","87%","E-coli","","","","","","","","PF21002","07/22/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d2d126ae702d825bb0c"
"601","","","","","","0","","ASTM E2149","","TWNC00989191","","86%","E-coli","","","","","","","","FT21006","06/10/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d2d126ae702d825bb11"
"602","","","","","","30","","ASTM E2149","","TWNC00989192","","86%","E-coli","","","","","","","","FT21007","06/10/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d2d126ae702d825bb16"
"603","","","","","","0","","ASTM E2149","","TWNC00989193","","9%","E-coli","","","","","","","","BN21003","06/18/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d2d126ae702d825bb1a"
"604","","","","","","0","","ASTM E2149","","TWNC00989194","","41%","E-coli","","","","","","","","BN21004","06/18/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d2d126ae702d825bb1e"
"605","","","","","","0","","ASTM E2149","","TWNC00993340","","93%","E-coli","","","","","","","","","06/25/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d2d126ae702d825bb22"
"606","","","","","","0","","ASTM E2149","","TWNC00995799","","100%","E-coli","","","","","","","","","07/05/2021","","ITS TW","","","","","","","","","","","","","","","MISTII Mobile   ","","","67777d2d126ae702d825bb28"
"607","","","","","","0","","ASTM E2149","","TWNC00995801","","100%","E-coli","","","","","","","","","07/05/2021","","ITS TW","","","","","","","","","","","","","","","MISTII Mobile   ","","","67777d2d126ae702d825bb2c"
"608","","","","","","0","","ASTM E2149","","TWNC00995802","","100%","E-coli","","","","","","","","","07/05/2021","","ITS TW","","","","","","","","","","","","","","","MISTII Mobile   ","","","67777d2d126ae702d825bb30"
"609","","","","","","0","","ASTM E2149","","TWNC00998354","","93%","E-coli","","","","","","","","","07/14/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d2e126ae702d825bb34"
"610","","","","","","0","","ASTM E2149","","TWNC00998355","","34%","E-coli","","","","","","","","","07/14/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d2e126ae702d825bb38"
"611","","","","","","0","","AATCC 100","","TWNC00998358","","100%","E-coli","","","","","","","","","07/14/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d2e126ae702d825bb3e"
"612","","","","","","30","","ASTM E2149","","TWNC01000535","","100%","Staph&Kleb","","9938%","","","","","","PF21003","07/30/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d2e126ae702d825bb42"
"613","","","","","","30","","ASTM E2149","","TWNC01000542","","100%","Staph&Kleb","","2000%","","","","","","PF21004","07/30/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d2e126ae702d825bb46"
"614","","","","","","0","","ASTM E2149","","TWNC01003189","","23%","E-coli","","","","","","","","","07/30/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d2e126ae702d825bb4a"
"615","","","","","","0","","ASTM E2149","","TWNC01004126","","100%","E-coli","","","","","","","","","08/03/2021","","ITS TW","","","","","","","","","","","","","","","Padding ","","","67777d2e126ae702d825bb4e"
"616","","","","","","10","","ASTM E2149","","TWNC01006766","","40%","E-coli","","","","","","","","","08/17/2021","","ITS TW","","","","","","","","","","","","","","","Padding ","","","67777d2e126ae702d825bb54"
"617","","","","","","0","","ASTM E2149","","TWNC01010834","","24%","E-coli","","","","","","","","","08/25/2021","","ITS TW","","","","","","","","","","","","","","","MISTIi Stenter ","","","67777d2e126ae702d825bb58"
"618","","","","","","0","","JIS L1902 定量-吸收法","","TWNC01010836","","","E-coli","","","Pass(5.18)","","","","","","08/25/2021","","ITS TW","","","","","","","","","","","","","","","MISTIi Stenter ","","","67777d2e126ae702d825bb5c"
"619","","","","","","30","","ASTM E2149","","TWNC01010840","","52%","E-coli","","","","","","","","","09/02/2021","","ITS TW","","","","","","","","","","","","","","","MISTIi Stenter ","","","67777d2e126ae702d825bb60"
"620","","","","","","30","","JIS L1902 定量-吸收法","","TWNC01010842","","","E-coli","","","Fail(0.16)","","","","","","09/02/2021","","ITS TW","","","","","","","","","","","","","","","MISTIi Stenter ","","","67777d2e126ae702d825bb64"
"621","","","","","","0","","ASTM E2149","","TWNC01010844","","9%","E-coli","","","","","","","","","08/25/2021","","ITS TW","","","","","","","","","","","","","","","MISTII Mobile   ","","","67777d2e126ae702d825bb6a"
"622","","","","","","0","","JIS L1902 定量-吸收法","","TWNC01010845","","","E-coli","","","Pass(6.52)","","","","","","08/25/2021","","ITS TW","","","","","","","","","","","","","","","MISTII Mobile   ","","","67777d2f126ae702d825bb6e"
"623","","","","","","0","","ASTM E2149","","TWNC01011128","","18%","E-coli","","","","","","","","","08/26/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d2f126ae702d825bb72"
"624","","","","","","0","","JIS L1902 定量-吸收法","","TWNC01011129","","","E-coli","","","Pass(4.99)","","","","","","08/26/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d2f126ae702d825bb76"
"625","","","","","","30","","ASTM E2149","","TWNC01011130","","43%","E-coli","","","","","","","","","09/03/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d2f126ae702d825bb7a"
"626","","","","","","30","","JIS L1902 定量-吸收法","","TWNC01011131","","","E-coli","","","Fail(0.22)","","","","","","09/03/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d2f126ae702d825bb80"
"627","","","","","","0","","ASTM E2149","","TWNC01011137","","24%","E-coli","","","","","","","","","08/26/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d2f126ae702d825bb84"
"628","","","","","","0","","JIS L1902 定量-吸收法","","TWNC01011138","","","E-coli","","","Pass(5.63)","","","","","","08/26/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d2f126ae702d825bb88"
"629","","","","","","30","","ASTM E2149","","TWNC01011139","","48%","E-coli","","","","","","","","","09/03/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d2f126ae702d825bb8c"
"630","","","","","","30","","JIS L1902 定量-吸收法","","TWNC01011140","","","E-coli","","","Fail(0.06)","","","","","","09/03/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d2f126ae702d825bb90"
"631","","","","","","0","","ASTM E2149","","TWNC01011144","","40%","E-coli","","","","","","","","","08/26/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d2f126ae702d825bb96"
"632","","","","","","0","","JIS L1902 定量-吸收法","","TWNC01011145","","","E-coli","","","Pass(4.22)","","","","","","08/26/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d2f126ae702d825bb9a"
"633","","","","","","30","","ASTM E2149","","TWNC01011146","","68%","E-coli","","","","","","","","","09/07/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d2f126ae702d825bb9e"
"634","","","","","","30","","JIS L1902 定量-吸收法","","TWNC01011147","","21%","E-coli","","","","","","","","","09/07/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d2f126ae702d825bba2"
"635","","","","","","0","","ASTM E2149","","TWNC01011150","","25%","E-coli","","","","","","","","","08/26/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","-","-","67777d2f126ae702d825bba6"
"636","","","","","","0","","JIS L1902 定量-吸收法","","TWNC01011151","","","E-coli","","","Pass(5.26)","","","","","","08/26/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","-","-","67777d30126ae702d825bbac"
"637","","","","","","30","","ASTM E2149","","TWNC01011152","","40%","E-coli","","","","","","","","","09/03/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","-","-","67777d30126ae702d825bbb0"
"638","","","","","","30","","JIS L1902 定量-吸收法","","TWNC01011153","","","E-coli","","","Fail(0.42)","","","","","","09/03/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","-","-","67777d30126ae702d825bbb4"
"639","","","","","","0","","ASTM E2149","","TWNC01011155","","46%","E-coli","","","","","","","","","08/26/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d30126ae702d825bbb8"
"640","","","","","","0","","JIS L1902 定量-吸收法","","TWNC01011156","","","E-coli","","","Pass(5.41)","","","","","","08/26/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d30126ae702d825bbbc"
"641","","","","","","30","","ASTM E2149","","TWNC01011157","","35%","E-coli","","","","","","","","","09/03/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d30126ae702d825bbc2"
"642","","","","","","30","","JIS L1902 定量-吸收法","","TWNC01011158","","","E-coli","","","Fail(-0.05)","","","","","","09/03/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d30126ae702d825bbc6"
"643","","","","","","0","","ASTM E2149","","TWNC01011524","","9%","E-coli","","","","","","","","","08/27/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d30126ae702d825bbca"
"644","","","","","","0","","ASTM E2149","","TWNC01013906","","17%","E-coli","","","","","","","","","09/10/2021","","ITS TW","","","","","","","","","","","","","","","MISTII Mobile   ","","","67777d30126ae702d825bbce"
"645","","","","","","0","","ASTM E2149","","TWNC01013910","","95%","E-coli","","","","","","","","","09/10/2021","","ITS TW","","","","","","","","","","","","","","","MISTII Mobile   ","","","67777d30126ae702d825bbd2"
"646","","","","","","0","","ASTM E2149","","TWNC01013915","","0%","E-coli","","","","","","","","","09/10/2021","","ITS TW","","","","","","","","","","","","","","","MISTII Mobile","","","67777d30126ae702d825bbe8"
"647","","","","","","0","","ASTM E2149","","TWNC01013918","","99%","E-coli","","","","","","","","CC21001","09/10/2021","","ITS TW","","","","","","","","","","","","","","","MISTII Mobile   ","","","67777d30126ae702d825bbfb"
"648","","","","","","5","","ASTM E2149","","TWNC01021314","","67%","E-coli","","","","","","","","","10/05/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d31126ae702d825bc12"
"649","","","","","","10","","ASTM E2149","","TWNC01021481","","81%","E-coli","","","","","","","","","10/05/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d31126ae702d825bc16"
"650","","","","","","0","","ASTM E2149","","TWNC01014760","","99%","E-coli","","","","","","","","FT21008","09/09/2021","","ITS TW","","","","","","","","","","","","","","","","","","67777d31126ae702d825bc1a"
"651","","","","","","30","","ASTM E2149","","TWNC01014761","","89%","E-coli","","","","","","","","FT21009","09/09/2021","","ITS TW","","","","","","","","","","","","","","","","","","67777d31126ae702d825bc1e"
"652","","","","","","0","","ASTM E2149","","TWNC01014762","","99%","E-coli","","","","","","","","FT21010","09/09/2021","","ITS TW","","","","","","","","","","","","","","","","","","67777d31126ae702d825bc22"
"653","","","","","","30","","ASTM E2149","","TWNC01014764","","84%","E-coli","","","","","","","","FT21011","09/09/2021","","ITS TW","","","","","","","","","","","","","","","","","","67777d31126ae702d825bc26"
"654","","","","","","0","","ASTM E2149","","TWNC01014766","","36%","E-coli","","","","","","","","","09/10/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d31126ae702d825bc2c"
"655","","","","","","0","","JIS L1902 定量-吸收法","","TWNC01015439","","27%","E-coli","","","","","","","","","09/10/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d31126ae702d825bc30"
"656","","","","","","0","","ASTM E2149","","TWNC01022874","","37%","E-coli","","","","","","","","","10/07/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch","","","67777d31126ae702d825bc34"
"657","","","","","","0","","AATCC 147","","TWNC01027146","","","E-coli","","","Inhibition of growth ","","","","","","10/28/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch","","","67777d31126ae702d825bc38"
"658","","","","","","5","","ASTM E2149","","TWNC01032136","","28%","E-coli","","","","","","","","","11/11/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch","","","67777d31126ae702d825bc3c"
"659","","","","","","0","","ASTM E2149","","TWNC01024745","","100%","E-coli","","","","","","","","FU21001","10/15/2021","","ITS TW","","","","","","","","","","","","","","","Padding","","","67777d31126ae702d825bc42"
"660","","","","","","0","","JIS L1902 定量-吸收法","","TWNC01024746","","","E-coli","","",">6.9","","","","","","10/15/2021","","ITS TW","","","","","","","","","","","","","","","Padding ","","","67777d31126ae702d825bc46"
"661","","","","","","30","","ASTM E2149","","TWNC01027793","","89%","E-coli","","","","","","","","FU21002","11/03/2021","","ITS TW","","","","","","","","","","","","","","","Padding ","","","67777d32126ae702d825bc4a"
"662","","","","","","30","","JIS L1902 定量-吸收法","","TWNC01027794","","","E-coli","","","0.1","","","","","","11/03/2021","","ITS TW","","","","","","","","","","","","","","","Padding ","","","67777d32126ae702d825bc51"
"663","","","","","","0","","ASTM E2149","","TWNC01024747","","100%","E-coli","","","","","","","","","10/15/2021","","ITS TW","","","","","","","","","","","","","","","Padding ","","","67777d32126ae702d825bc55"
"664","","","","","","0","","JIS L1902 定量-吸收法","","TWNC01024748","","","E-coli","","",">6.9","","","","","","10/15/2021","","ITS TW","","","","","","","","","","","","","","","Padding ","","","67777d32126ae702d825bc5b"
"665","","","","","","30","","ASTM E2149","","TWNC01027795","","87%","E-coli","","","","","","","","","11/03/2021","","ITS TW","","","","","","","","","","","","","","","Padding ","","","67777d32126ae702d825bc5f"
"666","","","","","","30","","JIS L1902 定量-吸收法","","TWNC01027796","","","E-coli","","","-0.1","","","","","","11/03/2021","","ITS TW","","","","","","","","","","","","","","","","","","67777d32126ae702d825bc63"
"667","","","","","","0","","ASTM E2149","","TWNC01025611","","93%","E-coli","","","","","","","","BN21005","10/19/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch","","","67777d32126ae702d825bc67"
"668","","","","","","0","","ASTM E2149","","TWNC01027295","","0%","E-coli","","","","","","","","","10/26/2021","","ITS TW","","","","","","","","","","","","","","","MISTII Mobile","","","67777d32126ae702d825bc6b"
"669","","","","","","0","","ASTM E2149","","TWNC01031894","","0%","E-coli","","","","","","","","","11/09/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch","","","67777d32126ae702d825bc71"
"670","","","","","","0","","ASTM E2149","","TWNC01031895","","0%","MRSA","","","","","","","","","11/09/2021","","ITS TW","","","","","","","","","","","","","","","MISTI Batch","","","67777d32126ae702d825bc75"
"671","","","","","","0","","ASTM E2149","","TWNC01031898","","99%","E-coli","","","","","","","","","11/09/2021","","ITS TW","","","","","","","","","","","","","","","Padding ","","","67777d32126ae702d825bc79"
"672","","","","","","0","","AATCC 100","","TWNC01031905","","27%","E-coli","","","","","","","","","11/09/2021","","ITS TW","","","","","","","","","","","","","","","Padding ","","","67777d32126ae702d825bc7d"
"673","","","","","","0","","AATCC 100","","TWNC01035835","","18%","Staph","","","","","","","","","11/26/2021","","ITS TW","","","","","","","","","","","","","","","Padding ","","","67777d32126ae702d825bc81"
"674","","","","","","0","","AATCC 100","","TWNC01035842","","58%","Kleb","","","","","","","","","11/26/2021","","ITS TW","","","","","","","","","","","","","","","Padding ","","","67777d33126ae702d825bc87"
"675","","","","","","0","","AATCC 100","","TWNC01035843","","0%","Staph","","","","","","","","","11/26/2021","","ITS TW","","","","","","","","","","","","","","","Padding ","","","67777d33126ae702d825bc8b"
"676","","","","","","0","","AATCC 100","","TWNC01035848","","5%","E-coli","","","","","","","","","11/26/2021","","ITS TW","","","","","","","","","","","","","","","Padding ","","","67777d33126ae702d825bc8f"
"677","","","","","","30","","ASTM E2149","","TWNC01035854","","48%","E-coli","","","","","","","","","12/01/2021","","ITS TW","","","","","","","","","","","","","","","Padding ","","","67777d33126ae702d825bc93"
"678","","","","","","30","","AATCC 100","","TWNC01035863","","0%","E-coli","","","","","","","","","12/01/2021","","ITS TW","","","","","","","","","","","","","","","Padding ","","","67777d33126ae702d825bc97"
"679","","","","","","0","","ASTM E2149","","TWNC01031908","","83%","E-coli","","","","","","","","","11/09/2021","","ITS TW","","","","","","","","","","","","","","","Padding ","","","67777d33126ae702d825bc9d"
"680","","","","","","0","","AATCC 100","","TWNC01031910","","100%","E-coli","","","","","","","","","11/09/2021","","ITS TW","","","","","","","","","","","","","","","Padding ","","","67777d33126ae702d825bca1"
"681","","","","","","0","","AATCC 100","","TWNC01035890","","57%","Staph","","","","","","","","","11/26/2021","","ITS TW","","","","","","","","","","","","","","","Padding ","","","67777d33126ae702d825bca5"
"682","","","","","","0","","AATCC 100","","TWNC01035891","","100%","Kleb","","","","","","","","","11/26/2021","","ITS TW","","","","","","","","","","","","","","","Padding ","","","67777d33126ae702d825bca9"
"683","","","","","","0","","AATCC 100","","TWNC01035892","","0%","Staph","","","","","","","","","11/26/2021","","ITS TW","","","","","","","","","","","","","","","Padding ","","","67777d33126ae702d825bcaf"
"684","","","","","","0","","AATCC 100","","TWNC01035893","","52%","E-coli","","","","","","","","","11/26/2021","","ITS TW","","","","","","","","","","","","","","","Padding ","","","67777d33126ae702d825bcb3"
"685","","","","","","30","","ASTM E2149","","TWNC01035894","","76%","E-coli","","","","","","","","","12/01/2021","","ITS TW","","","","","","","","","","","","","","","Padding ","","","67777d33126ae702d825bcb7"
"686","","","","","","30","","AATCC 100","","TWNC01035896","","0%","E-coli","","","","","","","","","12/01/2021","","ITS TW","","","","","","","","","","","","","","","Padding ","","","67777d33126ae702d825bcbb"
"687","","","","","","0","","ASTM E2149","","TWNC01031917","","100%","E-coli","","","","","","","","","11/09/2021","","ITS TW","","","","","","","","","","","","","","","Padding ","","","67777d34126ae702d825bcc1"
"688","","","","","","0","","AATCC 100","","TWNC01031918","","100%","E-coli","","","","","","","","","11/09/2021","","ITS TW","","","","","","","","","","","","","","","Padding ","","","67777d34126ae702d825bcc5"
"689","","","","","","0","","AATCC 100","","TWNC01035904","","99%","Staph","","","","","","","","","11/23/2021","","ITS TW","","","","","","","","","","","","","","","Padding ","","","67777d34126ae702d825bcc9"
"690","","","","","","0","","AATCC 100","","TWNC01035905","","100%","Kleb","","","","","","","","","11/23/2021","","ITS TW","","","","","","","","","","","","","","","Padding ","","","67777d35126ae702d825bccd"
"691","","","","","","0","","AATCC 100","","TWNC01035906","","72%","Staph","","","","","","","","","11/23/2021","","ITS TW","","","","","","","","","","","","","","","Padding ","","","67777d35126ae702d825bcd1"
"692","","","","","","0","","AATCC 100","","TWNC01035907","","81%","E-coli","","","","","","","","","11/23/2021","","ITS TW","","","","","","","","","","","","","","","Padding ","","","67777d36126ae702d825bcd5"
"693","","","","","","30","","ASTM E2149","","TWNC01035908","","75%","E-coli","","","","","","","","","12/01/2021","","ITS TW","","","","","","","","","","","","","","","Padding ","","","67777d36126ae702d825bcdb"
"694","","","","","","30","","AATCC 100","","TWNC01035909","","23%","E-coli","","","","","","","","","12/01/2021","","ITS TW","","","","","","","","","","","","","","","Padding ","","","67777d36126ae702d825bcdf"
